roundId,multiplier,timestamp
958,12.42,2025-12-29 10:43:35.055748
959,1.26,2025-12-29 10:43:46.0273
960,2.235,2025-12-29 10:44:04.373336
961,4.83,2025-12-29 10:44:30.659461
962,4.53,2025-12-29 10:44:57.085059
963,2.25,2025-12-29 10:45:15.33878
964,20.94,2025-12-29 10:45:59.898683
965,1.17,2025-12-29 10:46:09.486624
966,1.75,2025-12-29 10:46:24.407332
967,4,2025-12-29 10:46:29.951878
968,1.61,2025-12-29 10:46:38.279758
969,23.31,2025-12-29 10:47:24.121752
970,1.39,2025-12-29 10:47:36.075375
971,1.46,2025-12-29 10:47:48.42414
972,1.61,2025-12-29 10:48:02.480855
973,1.03,2025-12-29 10:48:11.35039
974,1.04,2025-12-29 10:48:19.337255
975,1.5,2025-12-29 10:48:32.21533
976,1.3,2025-12-29 10:48:43.851433
977,5.02,2025-12-29 10:49:11.521296
978,23.1,2025-12-29 10:49:56.776565
979,4.29,2025-12-29 10:50:55.434161
980,1.73,2025-12-29 10:54:08.666374
981,14.37,2025-12-29 10:54:48.236465
982,8.05,2025-12-29 10:55:21.559922
983,4.03,2025-12-29 10:55:46.66736
984,2.08,2025-12-29 10:56:03.485343
985,1.44,2025-12-29 10:56:15.744509
986,2.11,2025-12-29 10:56:33.161095
987,2.53,2025-12-29 10:56:52.208373
988,239.56,2025-12-29 10:58:06.213825
989,1.78,2025-12-29 10:58:20.796632
990,2.5,2025-12-29 10:58:40.080976
991,5.42,2025-12-29 10:59:08.524657
992,11.87,2025-12-29 10:59:46.650914
993,1.01,2025-12-29 10:59:54.719291
994,1.69,2025-12-29 11:00:09.050911
995,2,2025-12-29 11:00:14.379186
996,1.03,2025-12-29 11:00:16.968132
997,4.38,2025-12-29 11:00:43.331782
998,17.73,2025-12-29 11:01:25.737772
999,1.12,2025-12-29 11:01:34.818434
1000,1.19,2025-12-29 11:01:45.425341
1001,4.97,2025-12-29 11:02:12.631595
1002,1.28,2025-12-29 11:02:23.73109
1003,2.34,2025-12-29 11:02:42.028908
1004,4.18,2025-12-29 11:03:07.56838
1005,1.39,2025-12-29 11:03:19.154818
1006,2.22,2025-12-29 11:03:37.244824
1007,1.09,2025-12-29 11:03:46.27504
1008,1.52,2025-12-29 11:03:59.521602
1009,1.21,2025-12-29 11:04:09.525495
1010,2.31,2025-12-29 11:04:27.473273
1011,1.34,2025-12-29 11:04:59.425744
1012,1.05,2025-12-29 11:05:08.396799
1013,1.16,2025-12-29 11:05:17.692172
1014,9.4,2025-12-29 11:05:52.917973
1015,2.13,2025-12-29 11:06:10.458124
1016,2.13,2025-12-29 11:06:27.235858
1017,3.5,2025-12-29 11:06:50.43487
1018,8.51,2025-12-29 11:07:24.54459
1019,3.69,2025-12-29 11:07:47.771252
1020,2.29,2025-12-29 11:08:06.178428
1021,5.32,2025-12-29 11:08:34.059592
1022,1,2025-12-29 11:08:42.104327
1023,3.35,2025-12-29 11:09:05.331461
1024,1.85,2025-12-29 11:09:20.557903
1025,178.15,2025-12-29 11:10:30.099652
1026,1,2025-12-29 11:10:38.224577
1027,1.11,2025-12-29 11:10:47.587049
1028,2.17,2025-12-29 11:11:05.095041
1029,14.59,2025-12-29 11:11:45.954326
1030,2.55,2025-12-29 11:12:39.660495
1031,5.45,2025-12-29 11:13:07.27963
1032,2,2025-12-29 11:13:13.469419
1033,3.27,2025-12-29 11:13:30.169056
1034,2.12,2025-12-29 11:13:46.677878
1035,4.74,2025-12-29 11:14:25.41893
1036,1.18,2025-12-29 11:14:35.30629
1037,1.08,2025-12-29 11:14:44.310734
1038,5.52,2025-12-29 11:15:13.433985
1039,1.46,2025-12-29 11:15:25.418416
1040,1.74,2025-12-29 11:15:40.589989
1041,9.13,2025-12-29 11:16:14.917658
1042,1.04,2025-12-29 11:16:23.902856
1043,1.7,2025-12-29 11:16:38.299221
1044,1.26,2025-12-29 11:16:49.015197
1045,1.38,2025-12-29 11:17:00.846838
1046,3.5,2025-12-29 11:17:23.883105
1047,1.94,2025-12-29 11:17:40.2765
1048,1.15,2025-12-29 11:17:49.880377
1049,2.09,2025-12-29 11:18:06.597917
1050,1.53,2025-12-29 11:18:19.668989
1051,2.55,2025-12-29 11:18:38.886307
1052,7.05,2025-12-29 11:19:10.724612
1053,4.19,2025-12-29 11:19:36.028538
1054,1.16,2025-12-29 11:19:45.861778
1055,1.18,2025-12-29 11:20:08.177685
1056,1.45,2025-12-29 11:20:20.310215
1057,1.12,2025-12-29 11:20:29.761372
1058,1.48,2025-12-29 11:20:42.77748
1059,1.43,2025-12-29 11:20:55.12623
1060,23.16,2025-12-29 11:21:40.718033
1061,3.72,2025-12-29 11:22:04.691404
1062,1.24,2025-12-29 11:22:15.39144
1063,1.01,2025-12-29 11:22:23.824661
1064,1.39,2025-12-29 11:22:35.886699
1065,1.57,2025-12-29 11:22:49.293493
1066,3.58,2025-12-29 11:23:12.583465
1067,1.46,2025-12-29 11:23:25.387828
1068,1.72,2025-12-29 11:23:39.928992
1069,5.22,2025-12-29 11:24:07.593256
1070,2.79,2025-12-29 11:24:27.819132
1071,5.13,2025-12-29 11:26:43.18531
1072,1.93,2025-12-29 11:26:58.751782
1073,1.8,2025-12-29 11:27:14.028147
1074,512.34,2025-12-29 11:28:36.950576
1075,4.07,2025-12-29 11:29:02.137614
1076,29.25,2025-12-29 11:29:50.531133
1077,1.57,2025-12-29 11:30:04.920102
1078,1.71,2025-12-29 11:30:18.279052
1079,3.16,2025-12-29 11:30:40.551716
1080,1.29,2025-12-29 11:30:51.871692
1081,2.69,2025-12-29 11:31:11.979985
1082,4,2025-12-29 11:31:17.100814
1083,1.08,2025-12-29 11:31:20.248046
1084,1.13,2025-12-29 11:31:30.387581
1085,9.86,2025-12-29 11:32:05.18767
1086,2.59,2025-12-29 11:32:26.007671
1087,1.84,2025-12-29 11:32:40.942757
1088,3.21,2025-12-29 11:33:03.432118
1089,1.25,2025-12-29 11:33:13.894658
1090,3.88,2025-12-29 11:33:37.952345
1091,15.91,2025-12-29 11:34:19.863796
1092,1.32,2025-12-29 11:34:30.698927
1093,2.83,2025-12-29 11:34:51.638432
1094,1.4,2025-12-29 11:35:03.620562
1095,18.96,2025-12-29 11:35:46.879433
1096,7.72,2025-12-29 11:36:19.962967
